index,text,synthesis_time_s,peak_gpu_mem_bytes,end_gpu_mem_bytes,cpu_rss_bytes_start,cpu_rss_bytes_end,cpu_cpu_percent,model_param_count,sample_rate,mos_rating
1,Tom has a blue kite. It flies high in the sky. He smiles as the wind pulls the string.,12.865,0,0,1376231424,4752568320,2.5,852026434,16000,3
2,Emma sits on the sofa with a warm blanket. She drinks tea and reads a book. The room is quiet and soft.,12.919,0,0,4752809984,4776296448,5.2,852026434,16000,3
3,A small bird sits on the tree. It sings a happy song. Mia listens and claps her hands.,11.724,0,0,4776300544,4782407680,5.0,852026434,16000,2.5
4,I ride my red bike to the park. The road is smooth and long. I stop to watch the ducks in the pond.,12.468,0,0,4782411776,4786434048,10.9,852026434,16000,2.5
5,"Cars move fast on the street. People walk with bags and talk on phones. The lights turn green, and buses start to go.",16.817,0,0,4786434048,4795097088,1.7,852026434,16000,3.5
6,Ben pours milk into a cup. He drinks it slowly and smiles. The milk is cold and sweet.,12.320,0,0,4795097088,4797702144,2.5,852026434,16000,3
7,A gray cat sleeps on the chair. Its fur is soft and warm. It dreams and moves its paws.,15.157,0,0,4797702144,4799881216,21.7,852026434,16000,2
8,Snow falls from the sky. The ground turns white. Kids laugh and make a big snowman.,11.184,0,0,4799881216,4801695744,5.0,852026434,16000,2.5
9,My mom has a small garden. She grows flowers and green beans. Every morning she waters them with care.,15.767,0,0,4801695744,4803633152,3.3,852026434,16000,2
10,Leo walks to school early. The air is cool and fresh. He waves to his friend at the corner.,10.610,0,0,4803633152,4805464064,1.7,852026434,16000,3
