index,text,synthesis_time_s,peak_gpu_mem_bytes,end_gpu_mem_bytes,cpu_rss_bytes_start,cpu_rss_bytes_end,cpu_cpu_percent,model_param_count,sample_rate,mos_rating
1,Tom has a blue kite. It flies high in the sky. He smiles as the wind pulls the string.,114.886,0,0,3506278400,3518963712,7.6,404409058,24000,2.5
2,Emma sits on the sofa with a warm blanket. She drinks tea and reads a book. The room is quiet and soft.,133.374,0,0,3518963712,3527069696,3.4,404409058,24000,3
3,A small bird sits on the tree. It sings a happy song. Mia listens and claps her hands.,102.650,0,0,3527069696,3534798848,4.2,404409058,24000,2
4,I ride my red bike to the park. The road is smooth and long. I stop to watch the ducks in the pond.,132.586,0,0,3534798848,3538718720,5.0,404409058,24000,2.5
5,"Cars move fast on the street. People walk with bags and talk on phones. The lights turn green, and buses start to go.",145.853,0,0,3538718720,3542626304,5.0,404409058,24000,2
6,Ben pours milk into a cup. He drinks it slowly and smiles. The milk is cold and sweet.,91.366,0,0,3542630400,3546738688,5.0,404409058,24000,2.5
7,A gray cat sleeps on the chair. Its fur is soft and warm. It dreams and moves its paws.,107.386,0,0,3546738688,3550388224,4.2,404409058,24000,2
8,Snow falls from the sky. The ground turns white. Kids laugh and make a big snowman.,88.153,0,0,3550388224,3552272384,3.4,404409058,24000,2.5
9,My mom has a small garden. She grows flowers and green beans. Every morning she waters them with care.,88.723,0,0,3552272384,3558371328,8.4,404409058,24000,3
10,Leo walks to school early. The air is cool and fresh. He waves to his friend at the corner.,124.710,0,0,3558371328,3562295296,5.0,404409058,24000,2
