index,text,synthesis_time_s,peak_gpu_mem_bytes,end_gpu_mem_bytes,cpu_rss_bytes_start,cpu_rss_bytes_end,cpu_cpu_percent,model_param_count,sample_rate,mos_rating
1,Tom has a blue kite. It flies high in the sky. He smiles as the wind pulls the string.,1.699,0,0,1538592768,1767219200,15.8,36284592,16000,3.5
2,Emma sits on the sofa with a warm blanket. She drinks tea and reads a book. The room is quiet and soft.,2.025,0,0,1767424000,2040315904,19.3,36284592,16000,3
3,A small bird sits on the tree. It sings a happy song. Mia listens and claps her hands.,1.648,0,0,2042224640,2055720960,16.8,36284592,16000,3.5
4,I ride my red bike to the park. The road is smooth and long. I stop to watch the ducks in the pond.,1.660,0,0,2056544256,2063368192,17.5,36284592,16000,2.5
5,"Cars move fast on the street. People walk with bags and talk on phones. The lights turn green, and buses start to go.",1.847,0,0,2063368192,2069454848,21.8,36284592,16000,4
6,Ben pours milk into a cup. He drinks it slowly and smiles. The milk is cold and sweet.,1.481,0,0,2069454848,2069389312,13.4,36284592,16000,4
7,A gray cat sleeps on the chair. Its fur is soft and warm. It dreams and moves its paws.,1.711,0,0,2069389312,2075967488,22.0,36284592,16000,3
8,Snow falls from the sky. The ground turns white. Kids laugh and make a big snowman.,1.630,0,0,2075967488,2110062592,41.2,36284592,16000,3.5
9,My mom has a small garden. She grows flowers and green beans. Every morning she waters them with care.,2.311,0,0,2110062592,2212663296,24.2,36284592,16000,3
10,Leo walks to school early. The air is cool and fresh. He waves to his friend at the corner.,1.805,0,0,2212667392,2213462016,15.1,36284592,16000,3
